"Reference","Value","Footprint","QUANTITY","DNP"
"C1,C5,C7-C13","100nF","kart-medulla:C0603","9",""
"C2","0.33uF","kart-medulla:C0603","1",""
"C3,C6","0.1uF","kart-medulla:C0603","2",""
"C4","4.7uF","kart-medulla:C0603","1",""
"CN1-CN10","2601-3103","kart-medulla:TerminalBlock_WAGO_2601-3103_1x03_P3.50mm_Vertical","10",""
"Q3","IRLZ44NPBF","kart-medulla:TO-220-3_L10.0-W4.5-P2.54-T","1",""
"Q4","BSS123_C5184436","kart-medulla:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"R1-R3","1k","kart-medulla:R0603","3",""
"R4,R6-R17,R31,R32,R35,R36,R38","10K","kart-medulla:R0603","18",""
"R19","2K","kart-medulla:R0603","1",""
"R20,R39","1K","kart-medulla:R0603","2",""
"R22,R30","100","kart-medulla:R0603","2",""
"R23","100k","kart-medulla:R0603","1",""
"R24,R26","2k","kart-medulla:R0603","2",""
"R25,R27","3.9k","kart-medulla:R0603","2",""
"R33,R34","4k7","kart-medulla:R0603","2",""
"R37","5.1K","kart-medulla:R0603","1",""
"U1","LM358DR","kart-medulla:SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","1",""
"U5","SN74LVC3G17DCTR","kart-medulla:SOP65P400X130-8N","1",""
"U13","MCP4922-E/SL","kart-medulla:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","1",""
"U14","MAX4660EUA+T","kart-medulla:SOP65P490X110-9N","1",""
"U19","L7805CDT_C20611927","kart-medulla:TO-252-2_L6.6-W6.1-P4.57-LS9.9-BR-CW","1",""
"U23","SSW-122-01-T-D","kart-medulla:HDR-TH_ESQ-122-59-G-D","1",""
"U24","SSW-122-01-T-S","kart-medulla:HDR-TH_ESQ-122-23-G-S","1",""
"U25","PCF8574T/3,518","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
